"kanji-key-荷","荷","N4","3-1","","Luggage","Meaning mem:<br/>The lip ring wearing leader of the Flowers Gang does not carry his own luggage anywhere. He is so powerful, respected, and feared that people always carry his luggage for him wherever he goes. You might not think a leader of a gang called the Flowers would be intimidating, but he is. HINTS Picture this lip ring wearing gang leader. He’s clad in studded leather and has a big flower embroidered onto the back of his jacket. It’s a big thorny rose. Imagine him in your head, hear the sound of his leather outfit as he strides along unencumbered by luggage.<br/>Reading mem:<br/>Remember that giant thorny rose on the lip ring wearing leader’s back? The thorns coming out of it are real, and they’re as sharp as needles (に). You wouldn’t want to prick your finger on them. They’re super pointy and he uses them to defend his luggage. HINTS Imagine how much it hurts to get pricked by a needle, especially on your finger. Picture this happening to you now. Not comfortable, is it?<br/>Readings:<br/>On’yomi か Kun’yomi に Nanori None<br/>Radicals:<br/>艹 Flowers ｲ Leader 可 Lip Ring","にもつ<br/>てにもつ","荷物<br/>手荷物","kanji-writing-N4-3-1"
"kanji-key-送","送","N4","3-1","","Send","Meaning mem:<br/>On its scooter, a horned creature from heaven will take things you want to send there. HINTS Picture the horned thing on its scooter, a big messenger bag over its shoulder with the kanji for heaven on it. ""You got somethin' you want me to send?"" it mutters.<br/>Reading mem:<br/>You want to send your soul (そう) to heaven. I mean, you don't want it to go to some of those other places you've heard of, so why not send your soul? HINTS You put your soul into an envelope, stick a stamp on it, and hand it off to be sent to heaven. Bye bye! I hope this doesn't have any negative effects on your body!<br/>Readings:<br/>On’yomi そう Kun’yomi おく Nanori None<br/>Radicals:<br/> Scooter Horns 天 Heaven","おくる<br/>そうべつかい<br/>みおくり<br/>そうしん","送る<br/>送べつ会<br/>見送り<br/>送しん","kanji-writing-N4-3-1"
"kanji-key-宅","宅","N4","3-1","","House","Meaning mem:<br/>You need to go up on the roof and slide down seven times to make this your house. A house isn't a home until you've slid down it exactly seven times, you know. HINTS Imagine sliding down your house from the roof all the way down to the ground. I hope you aren't afraid of heights, because you have to do this six more times.<br/><br/>Reading mem:<br/>If you try to slide down your new house and you land on a tack (たく), that means the house has rejected you. It isn't your home now. You need to leave and find a new home. HINTS As you slide, you close your eyes and really hope you don't end up with a tack in your butt and no home to sleep in tonight.<br/><br/>Readings:<br/>On’yomi たく Kun’yomi None Nanori None<br/><br/>Radicals:<br/>宀 Roof 丿 Slide 七 Seven","おたく<br/>じゅうたく<br/>たくはい<br/>きたく<br/>じゅうたくがい","お宅<br/>住宅<br/>宅はい<br/>帰宅<br/>住宅がい","kanji-writing-N4-3-1"
"kanji-key-急","急","N4","3-1","","Hurry","Meaning mem:<br/>A wolverine's heart is in prison, so you need to hurry to set it free. If you don't hurry, its heart won't survive. And the wolverine's death will be on you. HINTS Imagine a dying wolverine, its heart trapped in a prison. Hurry, save it! You aren't going fast enough! Hurry, hurry!<br/><br/>Reading mem:<br/>You're trying to hurry as fast as you can to save the wolverine. But you're losing strength, so you grab a cucumber (きゅう) from your bag and munch on it to get some of your hurrying power back. HINTS Cucumbers help you hurry to where you need to go. Something about the smell, crunch, and taste helps you hurry it up.<br/><br/>Readings:<br/>On’yomi きゅう Kun’yomi いそ Nanori None<br/><br/>Radicals:<br/>勹 Prison ヨ Wolverine 心 Heart","いそいで<br/>きゅう<br/>きゅうこう<br/>きゅうきゅうしゃ<br/>とっきゅう","急いで<br/>急<br/>急行<br/>きゅう急車<br/>特急","kanji-writing-N4-3-1"
"kanji-key-速","速","N4","3-1","","Fast","Meaning mem:<br/>You jump on your scooter with a big bundle to go as fast as you can! You have a bundle of pizzas in here, and they need to be delivered as fast as you can get them there! HINTS Imagine how fast you can go on your scooter holding this bundle. It's way faster than trying to go on foot, that's for sure!<br/><br/>Reading mem:<br/>You were going so fast, you only put on socks (そく). So now you're barreling down the street at top speeds in just your sad, white socks. HINTS Imagine riding the scooter as fast as you can in just your socks. You can feel the wind pulling them off your feet!<br/><br/>Readings:<br/>On’yomi そく Kun’yomi はや Nanori None<br/><br/>Radicals:<br/> Scooter 束 Bundle","はやい<br/>じそく<br/>そくど<br/>そくたつ","速い<br/>時速<br/>速ど<br/>速たつ","kanji-writing-N4-3-1"
"kanji-key-遅","遅","N4","3-1","","Slow","Meaning mem:<br/>Next to the scooter, there's a flag warning you that there are sheep around here, so you should go slow. HINTS It's also a warning to the sheep that if they want to ride scooters they should also slow down, because as we all know, sheep are speed demons.<br/><br/>Reading mem:<br/>You follow the flag, but the sheep refuse to slow down so you have to get creative. You place cheese (ち) every ten feet or so, that way the sheep slow down to bend down on their scooters and take a bite. HINTS Picture all of the sheep finally going slowly because there is yummy cheese all over the road.<br/><br/>Readings:<br/>On’yomi ち Kun’yomi おそ, おく Nanori None<br/><br/>Radicals:<br/> Scooter 尸 Flag 羊 Sheep","おくれる<br/>ちこく","遅れる<br/>遅こく","kanji-writing-N4-3-1"
"kanji-key-重","重","N4","3-1","","Heavy","Meaning mem:<br/>The heavy radical and the heavy kanji are the same. HINTS Know your radicals, yo!<br/><br/>Reading mem:<br/>In your hand is a very heavy jewel (じゅう). Real jewels are always heavier than they look. HINTS Imagine holding a real jewel in your right hand and a fake jewel in your left. The one in your right hand is suuuuupeerrr heavy!<br/><br/>Readings:<br/>On’yomi じゅう, ちょう Kun’yomi おも, かさ, え Nanori None<br/><br/>Radicals:<br/>重 Heavy","かさねる<br/>おもい<br/>じゅうよう<br/>かさなる<br/>たいじゅう","重ねる<br/>重い<br/>重よう<br/>重なる<br/>体重","kanji-writing-N4-3-1"
"kanji-key-軽","軽","N4","3-1","","Lightweight","Meaning mem:<br/>A tombstone may be heavy for a human, but to a car, they’re relatively lightweight. Cars are very strong, you see, so something heavy like a tombstone is no match for them. All cars find tombstones to be lightweight and easy to transport. HINTS Picture yourself trying to move a huge slab tombstone. It’s difficult, no? I bet you wish you had a car or some other vehicle to make the process much less painful. Your arms are getting sore from carrying the tombstone and you’re getting sweaty and hot from all the work. What you would do for a car with air conditioning.<br/><br/>Reading mem:<br/>What do you wish you had to transport this tombstone? Oh, that’s right – a car (かる). If you had a car, this tombstone moving business would be no problem. To cars, tombstones are naught but lightweight pebbles! HINTS Remember all that hard work you were doing before and how you got all sweaty and gross? Now imagine yourself inside of a nice car with air conditioning, and the tombstone in the trunk. It feels great doesn’t it? The air conditioning is perfect, and driving a car is much easier than carrying a tombstone around.<br/><br/>Readings:<br/>On’yomi けい Kun’yomi かる, かろ Nanori None<br/><br/>Radicals:<br/>車 Car 圣 Tombstone","かるい<br/>かろやか<br/>けいしょく","軽い<br/>軽やか<br/>軽食","kanji-writing-N4-3-1"
"kanji-key-住","住","N4","3-2","","Dwelling","Meaning mem:<br/>The leader of the masters gets the biggest dwelling. He resides in a huge mansion on the top of the mountain, surrounded by all the other masters in their smaller dwellings. HINTS Picture the leader master's big, beautiful dwelling. Everyone else is jealous.<br/><br/>Reading mem:<br/>He needs this big dwelling so he has somewhere to store all of his jewels (じゅう). Masters always have lots of fancy, expensive things, and he has jewels. HINTS Imagine opening the door to the leader master's dwelling and thousands of jewels come pouring out, whisking you off, down the mountain.<br/><br/>Readings:<br/>On’yomi じゅう Kun’yomi す Nanori None<br/><br/>Radicals:<br/>ｲ Leader 主 Master","じゅうたく<br/>すむ<br/>じゅうたくがい<br/>じゅうしょ<br/>すめばみやこ","住宅<br/>住む<br/>住宅がい<br/>住所<br/>住めば都","kanji-writing-N4-3-2"
"kanji-key-所","所","N4","3-2","","Place","Meaning mem:<br/>You're taking an axe to a door. You're absolutely crazy. ""I HATE THIS PLACE!!"" you keep yelling as you smash in the door. HINTS Why do you hate this place, in particular? Come up with a great reason why to help you to remember this very broad kanji meaning.<br/><br/>Reading mem:<br/>You finally break through the door and jump in. Inside is a great circus show (しょ). There are elephants, tightrope walkers, bears on unicycles, and more! The greatest show on earth, but why is it here at this place? HINTS Come up with a weird reason as to why the circus is at this place you hate so much. Why did you come here with your axe? Does it have something to do with the circus show?<br/><br/>Readings:<br/>On’yomi しょ Kun’yomi ところ Nanori None<br/><br/>Radicals:<br/>戸 Door 斤 Axe","ところ<br/>じゅうしょ<br/>ばしょ<br/>ちょうしょ<br/>たんしょ","所<br/>住所<br/>場所<br/>長所<br/>たん所","kanji-writing-N4-3-2"
