"Where would be a good place to buy a camera?","どこでカメラを<ruby>買<rp>(</rp><rt>か</rt><rp>)</rp></ruby>ったらいいですか。","<table><tr><td class=""syntax-component"">Interrogative</td><td class=""syntax-component"">Vた-form</td><td class=""syntax-component"">らいいですか</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","","lesson-26-sentence sentence"
"You can just go directly there.","<ruby>直接<rp>(</rp><rt>ちょくせつ</rt><rp>)</rp></ruby><ruby>言<rp>(</rp><rt>い</rt><rp>)</rp></ruby>ったらいいですよ。","<table><tr><td class=""syntax-component"">Interrogative</td><td class=""syntax-component"">Vた-form</td><td class=""syntax-component"">らいいですか</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","","lesson-26-sentence sentence"
"I don't like karaoke.","カラオケは<ruby>好<rp>(</rp><rt>す</rt><rp>)</rp></ruby>きじゃないんです。","<table><tr><td class=""syntax-component"">N(object)</td><td class=""syntax-component"">は</td><td class=""brace"" rowspan=""3""></td><td class=""syntax-component"">好きです・嫌いです</td><td class=""brace"" rowspan=""3""></td><td class=""syntax-component"">N</td><td class=""syntax-component""></td></tr><tr><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component"">上手です・下手です</td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr><tr><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component"">あります, etc.</td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","Making a direct object marked by を was introduced in Lesson 17 of Book 1. Nounds indicated by が that are the object of phrases such as 好きです can also be made into a topic.","lesson-26-sentence sentence"
"I can speak Japanese.","<ruby>日本語<rp>(</rp><rt>にほんご</rt><rp>)</rp></ruby>が<ruby>話<rp>(</rp><rt>はな</rt><rp>)</rp></ruby>せます。","","Indicate states, not actions.","lesson-27-sentence sentence"
"You can see Mount Fuji from the Shinkansen.","<ruby>新幹線<rp>(</rp><rt>しんかんせん</rt><rp>)</rp></ruby><ruby>原<rp>(</rp><rt>げん</rt><rp>)</rp></ruby><ruby>富士山<rp>(</rp><rt>ふじさん</rt><rp>)</rp></ruby>が<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>えます。","<table><tr><td class=""syntax-component"">見えます</td><td class=""syntax-component"">and</td><td class=""syntax-component"">聞こえます</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","見えます and 聞こえます are not volitional; they denote something (indicated by が) naturally coming into sight, or a sound naturally reaching one's ears, independent of ome's will.","lesson-27-sentence sentence"
"The sound of a radio can be heard.","ラジオの<ruby>音<rp>(</rp><rt>おと</rt><rp>)</rp></ruby>が<ruby>聞<rp>(</rp><rt>き</rt><rp>)</rp></ruby>こえます。","<table><tr><td class=""syntax-component"">見えます</td><td class=""syntax-component"">and</td><td class=""syntax-component"">聞こえます</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","見えます and 聞こえます are not volitional; they denote something (indicated by が) naturally coming into sight, or a sound naturally reaching one's ears, independent of ome's will.","lesson-27-sentence sentence"
"A big supermarket was built in front of the station.","<ruby>駅<rp>(</rp><rt>えき</rt><rp>)</rp></ruby>の<ruby>前<rp>(</rp><rt>まえ</rt><rp>)</rp></ruby>に<ruby>大<rp>(</rp><rt>おお</rt><rp>)</rp></ruby>きいスーパーができました。","<table><tr><td class=""syntax-component"">できます</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","The sense of the verb できます introduced here is to 'come into being', 'be finished, 'be made', etc.","lesson-27-sentence sentence"
"When can you repair this watch by?","<ruby>時計<rp>(</rp><rt>とけい</rt><rp>)</rp></ruby>の<ruby>修理<rp>(</rp><rt>しゅうり</rt><rp>)</rp></ruby>はいつできますか。","<table><tr><td class=""syntax-component"">できます</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","The sense of the verb できます introduced here is to 'come into being', 'be finished, 'be made', etc.","lesson-27-sentence sentence"
"I can only write Romaji.","ローマ<ruby>字<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>しか、<ruby>書<rp>(</rp><rt>か</rt><rp>)</rp></ruby>けません。","<table><tr><td class=""syntax-component"">しか</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","しか is appended to nouns, quantifiers, etc., and is always used with a negative. A sentence that contains it negates everything except the word to which it is attached. When used with a noun to which a particle is attached, it is appended to the particle unless this is が or を, which it replaces. It suggests insufficiency or inadequacy.","lesson-27-sentence sentence"
"I can write romaji [but nothing else]","ローマ<ruby>字<rp>(</rp><rt>じ</rt><rp>)</rp></ruby>だけ<ruby>書<rp>(</rp><rt>か</rt><rp>)</rp></ruby>けます。","<table><tr><td class=""syntax-component"">しか</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","しか is appended to nouns, quantifiers, etc., and is always used with a negative. A sentence that contains it negates everything except the word to which it is attached. When used with a noun to which a particle is attached, it is appended to the particle unless this is が or を, which it replaces. It suggests insufficiency or inadequacy.","lesson-27-sentence sentence"
"I drink wine, but I don't drink beer.","ワインは<ruby>飲<rp>(</rp><rt>の</rt><rp>)</rp></ruby>みますが、ビールは<ruby>飲<rp>(</rp><rt>の</rt><rp>)</rp></ruby>みません。","<table><tr><td class=""syntax-component"">N</td><td class=""syntax-component"">は</td><td class=""syntax-component"">(contrast)</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","In addition to introducing a topic, は can also be used to indicate a contrast.","lesson-27-sentence sentence"
"The mountains were visible yesterday, but not today.","<ruby>昨日<rp>(</rp><rt>きのう</rt><rp>)</rp></ruby>は<ruby>山<rp>(</rp><rt>やま</rt><rp>)</rp></ruby>が<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>えましたが、<ruby>今日<rp>(</rp><rt>きょう</rt><rp>)</rp></ruby>は<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>えません。","<table><tr><td class=""syntax-component"">N</td><td class=""syntax-component"">は</td><td class=""syntax-component"">(contrast)</td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td><td class=""syntax-component""></td></tr></table>","In addition to introducing a topic, は can also be used to indicate a contrast.","lesson-27-sentence sentence"
"You can't see any horses in Japan (See Lesson 18)","<ruby>日本<rp>(</rp><rt>にっぽん</rt><rp>)</rp></ruby>では<ruby>馬<rp>(</rp><rt>うま</rt><rp>)</rp></ruby>を<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>ることができません。","","As explained in Book 1 Article 1 (p.160), when は is used with a noun to which another particle is already attached, it is appended to the particle unless the particle is が or を, which it replaces.","lesson-27-sentence sentence"
"On a fine day, you can see the sea.","<ruby>天気<rp>(</rp><rt>てんき</rt><rp>)</rp></ruby>の<ruby>良<rp>(</rp><rt>よ</rt><rp>)</rp></ruby>い<ruby>日<rp>(</rp><rt>ひ</rt><rp>)</rp></ruby>には<ruby>海<rp>(</rp><rt>うみ</rt><rp>)</rp></ruby>が<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>えるんです。","","As explained in Book 1 Article 1 (p.160), when は is used with a noun to which another particle is already attached, it is appended to the particle unless the particle is が or を, which it replaces.","lesson-27-sentence sentence"
"You can't see Tokyo Sky Tree from here.","ここからはと<ruby>今日<rp>(</rp><rt>きょう</rt><rp>)</rp></ruby>スカイツリーが<ruby>見<rp>(</rp><rt>み</rt><rp>)</rp></ruby>えません。","","As explained in Book 1 Article 1 (p.160), when は is used with a noun to which another particle is already attached, it is appended to the particle unless the particle is が or を, which it replaces.","lesson-27-sentence sentence"
